created_at,entry_id,pH,ORP (mV),Temp (degC),FCR_True
2024-11-27T09:31:11-08:00,223869,6.59,411,15.23,0
2024-11-27T09:31:26-08:00,223870,6.52,401,15.38,0
2024-11-27T09:31:42-08:00,223871,6.52,399,15.44,0
2024-11-27T09:31:57-08:00,223872,6.51,397,15.5,0
2024-11-27T09:32:13-08:00,223873,6.51,395,15.7,0
2024-11-27T09:32:28-08:00,223874,6.57,392,15.6,0
2024-11-27T09:32:43-08:00,223875,6.54,387,15.63,0
2024-11-27T09:32:59-08:00,223876,6.59,386,15.64,0
2024-11-27T09:33:14-08:00,223877,6.54,385,15.65,0
2024-11-27T09:33:30-08:00,223878,6.53,381,15.65,0
2024-11-27T09:33:45-08:00,223879,6.59,381,15.67,0
2024-11-27T09:34:00-08:00,223880,6.59,379,15.69,0
2024-11-27T09:34:16-08:00,223881,6.61,375,15.68,0
2024-11-27T09:34:31-08:00,223882,6.62,378,15.7,0
2024-11-27T09:34:46-08:00,223883,6.58,375,15.71,0
2024-11-27T09:35:02-08:00,223884,6.59,373,15.7,0
2024-11-27T09:35:17-08:00,223885,6.58,371,15.7,0
2024-11-27T09:35:32-08:00,223886,6.65,371,15.7,0
2024-11-27T09:35:48-08:00,223887,6.6,368,15.71,0
2024-11-27T09:36:03-08:00,223888,6.67,369,15.72,0
2024-11-27T09:36:18-08:00,223889,6.66,365,15.72,0
2024-11-27T09:36:34-08:00,223890,6.64,366,15.72,0
2024-11-27T09:36:49-08:00,223891,6.62,364,15.72,0
2024-11-27T09:37:05-08:00,223892,6.61,364,15.71,0
2024-11-27T09:37:20-08:00,223893,6.67,364,15.72,0
2024-11-27T09:37:35-08:00,223894,6.67,364,15.71,0
2024-11-27T09:37:51-08:00,223895,6.65,362,15.72,0
2024-11-27T09:38:06-08:00,223896,6.65,360,15.72,0
2024-11-27T09:38:21-08:00,223897,6.68,360,15.74,0
2024-11-27T09:38:37-08:00,223898,6.66,359,15.74,0
2024-11-27T09:38:52-08:00,223899,6.67,359,15.72,0
2024-11-27T09:39:07-08:00,223900,6.66,361,15.73,0
